DATE,DEXTAUS
2021-06-30,27.91
2021-07-01,27.91
2021-07-02,27.94
2021-07-05,.
2021-07-06,28.0
2021-07-07,28.01
2021-07-08,28.01
2021-07-09,27.98
2021-07-12,28.0
2021-07-13,28.0
2021-07-14,27.99
2021-07-15,27.89
2021-07-16,27.98
2021-07-19,28.05
2021-07-20,28.06
2021-07-21,28.06
2021-07-22,28.02
2021-07-23,28.03
2021-07-26,28.06
2021-07-27,28.08
2021-07-28,28.0
2021-07-29,27.91
2021-07-30,27.96
2021-08-02,27.92
2021-08-03,27.9
2021-08-04,27.77
2021-08-05,27.76
2021-08-06,27.86
2021-08-09,27.81
2021-08-10,27.84
2021-08-11,27.84
2021-08-12,27.79
2021-08-13,27.84
2021-08-16,27.84
2021-08-17,27.85
2021-08-18,27.84
2021-08-19,27.98
2021-08-20,28.03
2021-08-23,27.97
2021-08-24,27.92
2021-08-25,27.91
2021-08-26,27.92
2021-08-27,27.87
2021-08-30,27.78
2021-08-31,27.66
2021-09-01,27.7
2021-09-02,27.66
2021-09-03,27.61
2021-09-06,.
2021-09-07,27.64
2021-09-08,27.72
2021-09-09,27.67
2021-09-10,27.65
2021-09-13,27.67
2021-09-14,27.69
2021-09-15,27.67
2021-09-16,27.75
2021-09-17,27.77
2021-09-20,27.85
2021-09-21,27.76
2021-09-22,27.75
2021-09-23,27.75
2021-09-24,27.73
2021-09-27,27.7
2021-09-28,27.73
2021-09-29,27.83
2021-09-30,27.84
2021-10-01,27.81
2021-10-04,27.94
2021-10-05,27.91
2021-10-06,27.97
2021-10-07,27.99
2021-10-08,28.08
2021-10-11,.
2021-10-12,28.13
2021-10-13,28.07
2021-10-14,28.05
2021-10-15,27.99
2021-10-18,27.98
2021-10-19,27.83
2021-10-20,27.87
2021-10-21,27.86
2021-10-22,27.89
2021-10-25,27.87
2021-10-26,27.78
2021-10-27,27.82
2021-10-28,27.78
2021-10-29,27.83
2021-11-01,27.85
2021-11-02,27.86
2021-11-03,27.85
2021-11-04,27.88
2021-11-05,27.87
2021-11-08,27.85
2021-11-09,27.78
2021-11-10,27.75
2021-11-11,.
2021-11-12,27.82
2021-11-15,27.8
2021-11-16,27.78
2021-11-17,27.81
2021-11-18,27.83
2021-11-19,27.78
2021-11-22,27.8
2021-11-23,27.78
2021-11-24,27.78
2021-11-25,.
2021-11-26,27.84
2021-11-29,27.78
2021-11-30,27.69
2021-12-01,27.69
2021-12-02,27.74
2021-12-03,27.71
2021-12-06,27.73
2021-12-07,27.75
2021-12-08,27.72
2021-12-09,27.71
2021-12-10,27.73
2021-12-13,27.78
2021-12-14,27.8
2021-12-15,27.82
2021-12-16,27.8
2021-12-17,27.82
2021-12-20,27.87
2021-12-21,27.81
2021-12-22,27.81
2021-12-23,27.74
2021-12-24,.
2021-12-27,27.66
2021-12-28,27.64
2021-12-29,27.64
2021-12-30,27.74
2021-12-31,.
2022-01-03,27.62
2022-01-04,27.52
2022-01-05,27.6
2022-01-06,27.64
2022-01-07,27.66
2022-01-10,27.67
2022-01-11,27.69
2022-01-12,27.67
2022-01-13,27.61
2022-01-14,27.58
2022-01-17,.
2022-01-18,27.58
2022-01-19,27.62
2022-01-20,27.62
2022-01-21,27.7
2022-01-24,27.74
2022-01-25,27.71
2022-01-26,27.73
2022-01-27,27.83
2022-01-28,27.83
2022-01-31,27.82
2022-02-01,27.83
2022-02-02,27.81
2022-02-03,27.83
2022-02-04,27.83
2022-02-07,27.86
2022-02-08,27.79
2022-02-09,27.8
2022-02-10,27.82
2022-02-11,27.83
2022-02-14,27.89
2022-02-15,27.87
2022-02-16,27.84
2022-02-17,27.86
2022-02-18,27.85
2022-02-21,.
2022-02-22,27.84
2022-02-23,27.86
2022-02-24,28.13
2022-02-25,27.98
2022-02-28,28.04
2022-03-01,28.02
2022-03-02,28.04
2022-03-03,28.06
2022-03-04,28.16
2022-03-07,28.25
2022-03-08,28.36
2022-03-09,28.41
2022-03-10,28.28
2022-03-11,28.41
2022-03-14,28.47
2022-03-15,28.58
2022-03-16,28.57
2022-03-17,28.36
2022-03-18,28.35
2022-03-21,28.46
2022-03-22,28.54
2022-03-23,28.59
2022-03-24,28.61
2022-03-25,28.67
2022-03-28,28.78
2022-03-29,28.78
2022-03-30,28.55
2022-03-31,28.62
2022-04-01,28.68
2022-04-04,28.63
2022-04-05,28.67
2022-04-06,28.67
2022-04-07,28.82
2022-04-08,28.94
2022-04-11,29.07
2022-04-12,29.12
2022-04-13,29.01
2022-04-14,28.99
2022-04-15,29.12
2022-04-18,29.22
2022-04-19,29.22
2022-04-20,29.23
2022-04-21,29.29
2022-04-22,29.32
2022-04-25,29.33
2022-04-26,29.29
2022-04-27,29.39
2022-04-28,29.52
2022-04-29,29.43
2022-05-02,29.43
2022-05-03,29.48
2022-05-04,29.53
2022-05-05,29.69
2022-05-06,29.68
2022-05-09,29.78
2022-05-10,29.71
2022-05-11,29.69
2022-05-12,29.84
2022-05-13,29.79
2022-05-16,29.77
2022-05-17,29.67
2022-05-18,29.74
2022-05-19,29.76
2022-05-20,29.61
2022-05-23,29.6
2022-05-24,29.59
2022-05-25,29.5
2022-05-26,29.44
2022-05-27,29.3
2022-05-30,.
2022-05-31,28.99
2022-06-01,29.19
2022-06-02,29.34
2022-06-03,29.34
2022-06-06,29.37
2022-06-07,29.49
2022-06-08,29.5
2022-06-09,29.57
2022-06-10,29.56
2022-06-13,29.74
2022-06-14,29.66
2022-06-15,29.72
2022-06-16,29.77
2022-06-17,29.73
2022-06-20,.
2022-06-21,29.71
2022-06-22,29.81
2022-06-23,29.75
2022-06-24,29.72
2022-06-27,29.61
2022-06-28,29.67
2022-06-29,29.67
2022-06-30,29.74
2022-07-01,29.78
2022-07-04,.
2022-07-05,29.83
2022-07-06,29.8
2022-07-07,29.78
2022-07-08,29.75
2022-07-11,29.83
2022-07-12,29.9
2022-07-13,29.82
2022-07-14,29.89
2022-07-15,29.93
2022-07-18,29.89
2022-07-19,29.88
2022-07-20,29.92
2022-07-21,29.91
2022-07-22,29.9
2022-07-25,29.91
2022-07-26,29.96
2022-07-27,29.95
2022-07-28,29.95
2022-07-29,29.91
2022-08-01,29.98
2022-08-02,29.97
2022-08-03,29.98
2022-08-04,30.0
2022-08-05,29.94
2022-08-08,30.03
2022-08-09,30.03
2022-08-10,30.03
2022-08-11,29.95
2022-08-12,29.98
2022-08-15,30.0
2022-08-16,29.98
2022-08-17,29.98
2022-08-18,30.0
2022-08-19,30.02
2022-08-22,30.16
2022-08-23,30.11
2022-08-24,30.27
2022-08-25,30.24
2022-08-26,30.2
2022-08-29,30.4
2022-08-30,30.44
2022-08-31,30.38
2022-09-01,30.52
2022-09-02,30.59
2022-09-05,.
2022-09-06,30.82
2022-09-07,30.9
2022-09-08,30.91
2022-09-09,30.92
2022-09-12,30.93
2022-09-13,31.11
2022-09-14,31.11
2022-09-15,31.14
2022-09-16,31.35
2022-09-19,31.42
2022-09-20,31.37
2022-09-21,31.47
2022-09-22,31.6
2022-09-23,31.82
2022-09-26,31.83
2022-09-27,31.7
2022-09-28,31.75
2022-09-29,31.81
2022-09-30,31.78
2022-10-03,31.83
2022-10-04,31.73
2022-10-05,31.52
2022-10-06,31.53
2022-10-07,31.65
2022-10-10,.
2022-10-11,31.85
2022-10-12,31.84
2022-10-13,31.88
2022-10-14,31.95
2022-10-17,31.95
2022-10-18,32.03
2022-10-19,32.0
2022-10-20,32.06
2022-10-21,32.17
2022-10-24,32.37
2022-10-25,32.34
2022-10-26,32.1
2022-10-27,31.99
2022-10-28,32.13
2022-10-31,32.26
2022-11-01,32.18
2022-11-02,32.14
2022-11-03,32.27
2022-11-04,32.26
2022-11-07,32.01
2022-11-08,31.94
2022-11-09,31.78
2022-11-10,31.51
2022-11-11,.
2022-11-14,30.98
2022-11-15,31.05
2022-11-16,31.03
2022-11-17,31.09
2022-11-18,31.12
2022-11-21,31.19
2022-11-22,31.16
2022-11-23,31.15
2022-11-24,.
2022-11-25,30.94
2022-11-28,30.99
2022-11-29,30.98
2022-11-30,30.89
2022-12-01,30.6
2022-12-02,30.58
2022-12-05,30.48
2022-12-06,30.64
2022-12-07,30.62
2022-12-08,30.66
2022-12-09,30.61
2022-12-12,30.67
2022-12-13,30.63
2022-12-14,30.5
2022-12-15,30.62
2022-12-16,30.72
2022-12-19,30.73
2022-12-20,30.68
2022-12-21,30.65
2022-12-22,30.67
2022-12-23,30.73
2022-12-26,.
2022-12-27,30.71
2022-12-28,30.76
2022-12-29,30.71
2022-12-30,30.73
2023-01-02,.
2023-01-03,30.71
2023-01-04,30.66
2023-01-05,30.7
2023-01-06,30.72
2023-01-09,30.52
2023-01-10,30.46
2023-01-11,30.44
2023-01-12,30.44
2023-01-13,30.28
2023-01-16,.
2023-01-17,30.29
2023-01-18,30.29
2023-01-19,30.35
2023-01-20,30.34
2023-01-23,30.3
2023-01-24,30.34
2023-01-25,30.25
2023-01-26,30.34
2023-01-27,30.22
2023-01-30,30.05
2023-01-31,30.03
2023-02-01,29.81
2023-02-02,29.7
2023-02-03,29.92
2023-02-06,29.98
2023-02-07,30.05
2023-02-08,30.05
2023-02-09,30.07
2023-02-10,30.18
2023-02-13,30.21
2023-02-14,30.28
2023-02-15,30.31
2023-02-16,30.28
2023-02-17,30.39
2023-02-20,.
2023-02-21,30.42
2023-02-22,30.52
2023-02-23,30.42
2023-02-24,30.54
2023-02-27,30.54
2023-02-28,30.68
2023-03-01,30.52
2023-03-02,30.63
2023-03-03,30.59
2023-03-06,30.64
2023-03-07,30.74
2023-03-08,30.71
2023-03-09,30.77
2023-03-10,30.75
2023-03-13,30.47
2023-03-14,30.53
2023-03-15,30.71
2023-03-16,30.53
2023-03-17,30.54
2023-03-20,30.53
2023-03-21,30.52
2023-03-22,30.4
2023-03-23,30.29
2023-03-24,30.3
2023-03-27,30.36
2023-03-28,30.35
2023-03-29,30.47
2023-03-30,30.48
2023-03-31,30.48
2023-04-03,30.48
2023-04-04,30.48
2023-04-05,30.53
2023-04-06,30.54
2023-04-07,30.49
2023-04-10,30.44
2023-04-11,30.48
2023-04-12,30.48
2023-04-13,30.46
2023-04-14,30.52
2023-04-17,30.54
2023-04-18,30.51
2023-04-19,30.57
2023-04-20,30.58
2023-04-21,30.64
2023-04-24,30.64
2023-04-25,30.72
2023-04-26,30.67
2023-04-27,30.7
2023-04-28,30.72
2023-05-01,30.79
2023-05-02,30.8
2023-05-03,30.68
2023-05-04,30.7
2023-05-05,30.64
2023-05-08,30.69
2023-05-09,30.73
2023-05-10,30.68
2023-05-11,30.78
2023-05-12,30.75
2023-05-15,30.81
2023-05-16,30.79
2023-05-17,30.78
2023-05-18,30.75
2023-05-19,30.62
2023-05-22,30.67
2023-05-23,30.73
2023-05-24,30.84
2023-05-25,30.8
2023-05-26,30.72
2023-05-29,.
2023-05-30,30.55
2023-05-31,30.74
2023-06-01,30.75
2023-06-02,30.66
2023-06-05,30.71
2023-06-06,30.71
2023-06-07,30.74
2023-06-08,30.74
2023-06-09,30.74
2023-06-12,30.76
2023-06-13,30.67
2023-06-14,30.73
2023-06-15,30.68
2023-06-16,30.7
2023-06-19,.
2023-06-20,30.91
2023-06-21,30.94
2023-06-22,30.94
2023-06-23,30.94
2023-06-26,31.03
2023-06-27,31.02
2023-06-28,31.08
2023-06-29,31.06
2023-06-30,31.14
2023-07-03,31.1
2023-07-04,.
2023-07-05,31.14
2023-07-06,31.32
2023-07-07,31.24
2023-07-10,31.37
2023-07-11,31.3
2023-07-12,31.24
2023-07-13,30.94
2023-07-14,30.9
2023-07-17,31.02
2023-07-18,30.96
2023-07-19,31.13
2023-07-20,31.09
2023-07-21,31.25
2023-07-24,31.36
2023-07-25,31.29
2023-07-26,31.19
2023-07-27,31.32
2023-07-28,31.4
2023-07-31,31.45
2023-08-01,31.56
2023-08-02,31.64
2023-08-03,31.65
2023-08-04,31.63
2023-08-07,31.71
2023-08-08,31.85
2023-08-09,31.77
2023-08-10,31.78
2023-08-11,31.87
2023-08-14,31.94
2023-08-15,31.91
2023-08-16,31.96
2023-08-17,31.95
2023-08-18,31.91
2023-08-21,31.93
2023-08-22,31.98
2023-08-23,31.87
2023-08-24,31.82
2023-08-25,31.8
2023-08-28,31.88
2023-08-29,31.85
2023-08-30,31.82
2023-08-31,31.87
2023-09-01,31.87
2023-09-04,.
2023-09-05,31.92
2023-09-06,31.95
2023-09-07,32.04
2023-09-08,32.06
2023-09-11,31.97
2023-09-12,32.04
2023-09-13,31.95
2023-09-14,31.91
2023-09-15,31.89
2023-09-18,31.94
2023-09-19,32.03
2023-09-20,32.02
2023-09-21,32.12
2023-09-22,32.12
2023-09-25,32.13
2023-09-26,32.2
2023-09-27,32.23
2023-09-28,32.24
2023-09-29,32.24
2023-10-02,32.21
2023-10-03,32.34
2023-10-04,32.35
2023-10-05,32.28
2023-10-06,32.13
2023-10-09,.
2023-10-10,32.13
2023-10-11,32.09
2023-10-12,32.19
2023-10-13,32.21
2023-10-16,32.28
2023-10-17,32.34
2023-10-18,32.3
2023-10-19,32.38
2023-10-20,32.36
2023-10-23,32.31
2023-10-24,32.3
2023-10-25,32.38
2023-10-26,32.47
2023-10-27,32.43
2023-10-30,32.4
2023-10-31,32.47
2023-11-01,32.47
2023-11-02,32.36
2023-11-03,32.27
2023-11-06,32.1
2023-11-07,32.22
2023-11-08,32.21
2023-11-09,32.3
2023-11-10,.
2023-11-13,32.32
2023-11-14,32.14
2023-11-15,31.95
2023-11-16,31.84
2023-11-17,31.8
2023-11-20,31.51
2023-11-21,31.3
2023-11-22,31.63
2023-11-23,.
2023-11-24,31.63
2023-11-27,31.55
2023-11-28,31.45
2023-11-29,31.19
2023-11-30,31.26
2023-12-01,31.34
2023-12-04,31.45
2023-12-05,31.49
2023-12-06,31.48
2023-12-07,31.4
2023-12-08,31.5
2023-12-11,31.5
2023-12-12,31.47
2023-12-13,31.52
2023-12-14,31.22
2023-12-15,31.22
2023-12-18,31.38
2023-12-19,31.29
2023-12-20,31.28
2023-12-21,31.21
2023-12-22,31.11
2023-12-25,.
2023-12-26,30.97
2023-12-27,30.89
2023-12-28,30.69
2023-12-29,30.62
